IRN,Funding Plan,District,County,FY21,FY22,FY23,FY24,FY25,FY27
48074,Ohio House Proposal,Benjamin Logan Local,Logan,16707161.73,7337388.542,7067943.139,6960028.209,7150482.83,7094960.488
48926,Ohio House Proposal,Benton Carroll Salem Local,Ottawa,6067887.856,4536730.484,4388816.324,4299757.073,4176073.81,4160602.312
48926,Fair School Funding Plan,Benton Carroll Salem Local,Ottawa,6067887.856,4536730.484,4388816.324,4299757.073,4176073.81,4099142.76
43612,Fair School Funding Plan,Berea City,Cuyahoga,9104893.224,9683458.791,9117386.148,10231841.29,12201525.23,16460418.76
43612,Ohio House Proposal,Berea City,Cuyahoga,9104893.224,9683458.791,9117386.148,10231841.29,12201525.23,13001029.18
47167,Ohio House Proposal,Berkshire Local,Geauga,6078110.234,5838936.085,5684506.001,5607213.867,5474934.65,5436894.223
47167,Fair School Funding Plan,Berkshire Local,Geauga,6078110.234,5838936.085,5684506.001,5607213.867,5474934.65,5382063.268
46854,Fair School Funding Plan,Berne Union Local,Fairfield,5440722.173,5118970.811,4947385.913,4786207.438,4728666.64,4719173.112
46854,Ohio House Proposal,Berne Union Local,Fairfield,5440722.173,5118970.811,4947385.913,4786207.438,4728666.64,4679697.966
48611,Fair School Funding Plan,Bethel Local,Miami,6132350.241,6116342.243,7893027.176,10577312.71,10208886.3,21806553.74
48611,Ohio House Proposal,Bethel Local,Miami,6132350.241,6116342.243,7893027.176,10577312.71,10208886.3,13359089.33
46318,Fair School Funding Plan,Bethel-Tate Local,Clermont,11363558.67,10626694.11,10352503.17,10558073.87,9889993.97,12166110.34
46318,Ohio House Proposal,Bethel-Tate Local,Clermont,11363558.67,10626694.11,10352503.17,10558073.87,9889993.97,9769588.297
43620,Ohio House Proposal,Bexley City,Franklin,4652137.248,4445602.505,4295039.154,4299606.466,4344232.6,4386834.273
43620,Fair School Funding Plan,Bexley City,Franklin,4652137.248,4445602.505,4295039.154,4299606.466,4344232.6,4368998.998
46748,Fair School Funding Plan,Big Walnut Local,Delaware,5248725.631,4545359.096,4456388.723,4317794.59,4418951.68,5340416.901
46748,Ohio House Proposal,Big Walnut Local,Delaware,5248725.631,4545359.096,4456388.723,4317794.59,4418951.68,5246865.633
48462,Ohio House Proposal,Black River Local,Medina,9183826.871,6958137.825,6619540.932,6418911.016,6345423.51,6272000.154
48462,Fair School Funding Plan,Black River Local,Medina,9183826.871,6958137.825,6619540.932,6418911.016,6345423.51,6270622.018
46383,Ohio House Proposal,Blanchester Local,Clinton,13246016.03,12293405,11841060.36,11541065.6,11328250.5,11171748.65
46383,Fair School Funding Plan,Blanchester Local,Clinton,13246016.03,12293405,11841060.36,11541065.6,11328250.5,11119563.05
46862,Fair School Funding Plan,Bloom-Carroll Local,Fairfield,5930429.054,6305929.455,6463833.927,7556829.893,7975953.58,11668409.6
46862,Ohio House Proposal,Bloom-Carroll Local,Fairfield,5930429.054,6305929.455,6463833.927,7556829.893,7975953.58,8278099.563
49593,Fair School Funding Plan,Bloom-Vernon Local,Scioto,5492439.04,8932313.374,8496795.661,8580793.311,9058315.38,12923399.26
49593,Ohio House Proposal,Bloom-Vernon Local,Scioto,5492439.04,8932313.374,8496795.661,8580793.311,9058315.38,9650668.545
50096,Fair School Funding Plan,Bloomfield-Mespo Local,Trumbull,6275884.074,1598336.535,1610153.784,1775016.6,1696914.02,2244040.772
50096,Ohio House Proposal,Bloomfield-Mespo Local,Trumbull,6275884.074,1598336.535,1610153.784,1775016.6,1696914.02,1675042.501
45211,Fair School Funding Plan,Bluffton Exempted Village,Allen,6332813.62,6172798.423,6030854.061,6558426.632,6566353.69,9359696.697
45211,Ohio House Proposal,Bluffton Exempted Village,Allen,6332813.62,6172798.423,6030854.061,6558426.632,6566353.69,6700871.451
48306,Fair School Funding Plan,Boardman Local,Mahoning,21695185.8,6971833.972,7641076.768,9086027.352,8761924.78,12544877.6
48306,Ohio House Proposal,Boardman Local,Mahoning,21695185.8,6971833.972,7641076.768,9086027.352,8761924.78,8773719.175
49767,Fair School Funding Plan,Botkins Local,Shelby,7554571.118,5206381.662,5274325.214,5909591.923,6234603.57,9181566.649
49767,Ohio House Proposal,Botkins Local,Shelby,7554571.118,5206381.662,5274325.214,5909591.923,6234603.57,6807229.251
43638,Fair School Funding Plan,Bowling Green City School District,Wood,7045176.792,6888942.588,6348927.871,6555899.334,6033152.62,6335720.388
43638,Ohio House Proposal,Bowling Green City School District,Wood,7045176.792,6888942.588,6348927.871,6555899.334,6033152.62,6039304.403
45229,Fair School Funding Plan,Bradford Exempted Village,Miami,5096982.043,4759024.414,4628556.427,5078080.237,5356761.18,8282294.436
45229,Ohio House Proposal,Bradford Exempted Village,Miami,5096982.043,4759024.414,4628556.427,5078080.237,5356761.18,5759955.667
43646,Fair School Funding Plan,Brecksville-Broadview Heights City,Cuyahoga,4300647.943,4694641.04,4826138.476,4855943.769,4730418.8,6227643.904
43646,Ohio House Proposal,Brecksville-Broadview Heights City,Cuyahoga,4300647.943,4694641.04,4826138.476,4855943.769,4730418.8,5002853.278
45237,Fair School Funding Plan,Bridgeport Exempted Village,Belmont,6449234.274,6155706.739,6129516.292,6640618.898,7328962.76,11414896.61
45237,Ohio House Proposal,Bridgeport Exempted Village,Belmont,6449234.274,6155706.739,6129516.292,6640618.898,7328962.76,7983912.919
47613,Fair School Funding Plan,Bright Local,Highland,5023935.795,7035101.138,7181952.797,7776384.234,8290034.49,11765007.6
47613,Ohio House Proposal,Bright Local,Highland,5023935.795,7035101.138,7181952.797,7776384.234,8290034.49,8714710.339
50112,Ohio House Proposal,Bristol Local,Trumbull,1595748.138,3429658.032,3206450.991,2969210.852,3002147.81,2967918.126
50112,Fair School Funding Plan,Bristol Local,Trumbull,1595748.138,3429658.032,3206450.991,2969210.852,3002147.81,2946842.662
50120,Fair School Funding Plan,Brookfield Local,Trumbull,3717859.216,5598843.897,5810852.647,6707300.265,7580547.47,12691467.16
50120,Ohio House Proposal,Brookfield Local,Trumbull,3717859.216,5598843.897,5810852.647,6707300.265,7580547.47,8491050.869
43653,Fair School Funding Plan,Brooklyn City,Cuyahoga,862443.1525,1245489.521,1698614.207,2414314.934,2334490.79,4908707.164
43653,Ohio House Proposal,Brooklyn City,Cuyahoga,862443.1525,1245489.521,1698614.207,2414314.934,2334490.79,2497322.062
48678,Fair School Funding Plan,Brookville Local,Montgomery,13887166.22,6715982.059,6847863.222,7661419.717,7554386.46,9609635.713
48678,Ohio House Proposal,Brookville Local,Montgomery,13887166.22,6715982.059,6847863.222,7661419.717,7554386.46,7706006.258
46177,Fair School Funding Plan,Brown Local,Carroll,3412580.871,3204933.737,3178965.353,3349027.824,3684197.69,5150855.522
46177,Ohio House Proposal,Brown Local,Carroll,3412580.871,3204933.737,3178965.353,3349027.824,3684197.69,3695585.441
43661,Fair School Funding Plan,Brunswick City,Medina,30249036.13,28810504.48,27818528.54,27022479.1,26836856.78,27268394.6
43661,Ohio House Proposal,Brunswick City,Medina,30249036.13,28810504.48,27818528.54,27022479.1,26836856.78,26619567.53
43679,Fair School Funding Plan,Bryan City,Williams,8598778.596,8645547.433,8704204.242,9634795.433,11269710.01,19312381.07
43679,Ohio House Proposal,Bryan City,Williams,8598778.596,8645547.433,8704204.242,9634795.433,11269710.01,12194065.73
46508,Fair School Funding Plan,Buckeye Central Local,Crawford,4738864.944,4389328.676,4211320.248,4056131.173,4001313.96,3983069.329
46508,Ohio House Proposal,Buckeye Central Local,Crawford,4738864.944,4389328.676,4211320.248,4056131.173,4001313.96,3956327.215
47787,Fair School Funding Plan,Buckeye Local,Jefferson,12362234.99,8412460.596,8108940.301,7863478.577,7866780.61,13670285.24
45856,Fair School Funding Plan,Buckeye Local,Ashtabula,9384269.145,9058397.746,9043691.531,9734982.732,10892063.35,11210055.57
45856,Ohio House Proposal,Buckeye Local,Ashtabula,9384269.145,9058397.746,9043691.531,9734982.732,10892063.35,10752613.66
47787,Ohio House Proposal,Buckeye Local,Jefferson,12362234.99,8412460.596,8108940.301,7863478.577,7866780.61,8192978.118
48470,Fair School Funding Plan,Buckeye Local,Medina,7407039.336,6205502.652,6166860.043,5898246.894,6049257.45,6288288.402
48470,Ohio House Proposal,Buckeye Local,Medina,7407039.336,6205502.652,6166860.043,5898246.894,6049257.45,6032544.108
46755,Ohio House Proposal,Buckeye Valley Local,Delaware,4310692.256,4545492.962,4679518.695,4826918.609,5159669.02,6038636.341
46755,Fair School Funding Plan,Buckeye Valley Local,Delaware,4310692.256,4545492.962,4679518.695,4826918.609,5159669.02,5933082.336
43687,Fair School Funding Plan,Bucyrus City,Crawford,10530774.37,9700517.588,9662295.713,9771606.817,9534269.03,13709585.09
43687,Ohio House Proposal,Bucyrus City,Crawford,10530774.37,9700517.588,9662295.713,9771606.817,9534269.03,9405579.919
45252,Fair School Funding Plan,Caldwell Exempted Village,Noble,6350003.287,5355158.694,5252986.849,5806557.677,6621431.95,10974297.78
45252,Ohio House Proposal,Caldwell Exempted Village,Noble,6350003.287,5355158.694,5252986.849,5806557.677,6621431.95,7588264.478
43695,Fair School Funding Plan,Cambridge City,Guernsey,13322869.78,12391676.79,12239261.07,12911434.55,13408738.62,21353580.28
43695,Ohio House Proposal,Cambridge City,Guernsey,13322869.78,12391676.79,12239261.07,12911434.55,13408738.62,14014437.34
43703,Fair School Funding Plan,Campbell City,Mahoning,14906845.18,14705361.76,14431902.57,14424522.05,14101156.54,19734578.96
43703,Ohio House Proposal,Campbell City,Mahoning,14906845.18,14705361.76,14431902.57,14424522.05,14101156.54,13891208.96
46946,Fair School Funding Plan,Canal Winchester Local,Franklin,21537230.32,20363414.49,19809452.77,20588622.6,22867535.7,31535744.63
46946,Ohio House Proposal,Canal Winchester Local,Franklin,21537230.32,20363414.49,19809452.77,20588622.6,22867535.7,22623693.39
48314,Fair School Funding Plan,Canfield Local,Mahoning,6174903.503,4288278.332,4213743.243,4423308.25,4402737.82,4752502.774
48314,Ohio House Proposal,Canfield Local,Mahoning,6174903.503,4288278.332,4213743.243,4423308.25,4402737.82,4440138.108
43711,Fair School Funding Plan,Canton City,Stark,99294279.36,94959662.64,92734688.04,94157204.61,91392846.97,123712814
43711,Ohio House Proposal,Canton City,Stark,99294279.36,94959662.64,92734688.04,94157204.61,91392846.97,90054861.83
49833,Fair School Funding Plan,Canton Local,Stark,3202496.728,10807634.84,10586817.33,11120946.5,11085266.55,14616909.32
49833,Ohio House Proposal,Canton Local,Stark,3202496.728,10807634.84,10586817.33,11120946.5,11085266.55,10960062.54
47175,Ohio House Proposal,Cardinal Local,Geauga,2738979.082,2821306.964,2656713.663,2577280.626,2593302.87,2579208.334
47175,Fair School Funding Plan,Cardinal Local,Geauga,2738979.082,2821306.964,2656713.663,2577280.626,2593302.87,2553033.571
48793,Fair School Funding Plan,Cardington-Lincoln Local,Morrow,16572114.02,7746317.849,7652053.306,7939400.779,7906814.88,9760148.372
48793,Ohio House Proposal,Cardington-Lincoln Local,Morrow,16572114.02,7746317.849,7652053.306,7939400.779,7906814.88,7804271.477
45260,Fair School Funding Plan,Carey Exempted Village Schools,Wyandot,6240865.635,5893300.725,5768225.4,6390249.596,7249240.74,11460160.1
45260,Ohio House Proposal,Carey Exempted Village Schools,Wyandot,6240865.635,5893300.725,5768225.4,6390249.596,7249240.74,7977250.928
50419,Fair School Funding Plan,Carlisle Local,Warren,20406922.14,10157796.16,9668145.971,10254105.79,10142371.18,12888765.06
50419,Ohio House Proposal,Carlisle Local,Warren,20406922.14,10157796.16,9668145.971,10254105.79,10142371.18,10026300.63
45278,Fair School Funding Plan,Carrollton Exempted Village,Carroll,12297615.3,11674298.65,11125715.79,10771186.53,10851901.94,11369284.81
45278,Ohio House Proposal,Carrollton Exempted Village,Carroll,12297615.3,11674298.65,11125715.79,10771186.53,10851901.94,10733930.88
47258,Fair School Funding Plan,Cedar Cliff Local,Greene,8409032.989,3518941.122,3557613.752,3995324.741,4034504.49,5625122.472
47258,Ohio House Proposal,Cedar Cliff Local,Greene,8409032.989,3518941.122,3557613.752,3995324.741,4034504.49,4038918.701
43729,Fair School Funding Plan,Celina City,Mercer,13913929.77,13674541.16,13175029.71,14492847.38,13101208.62,16673767.12
43729,Ohio House Proposal,Celina City,Mercer,13913929.77,13674541.16,13175029.71,14492847.38,13101208.62,12973341.21
47829,Ohio House Proposal,Centerburg Local,Knox,7920743.972,6634708.574,6351867.642,6500058.116,6068038.01,6005079.119
47829,Fair School Funding Plan,Centerburg Local,Knox,7920743.972,6634708.574,6351867.642,6500058.116,6068038.01,5956253.46
43737,Fair School Funding Plan,Centerville City,Montgomery,14305992.95,13540184.95,12697418.91,13453680.32,14480426.64,15613324.1
43737,Ohio House Proposal,Centerville City,Montgomery,14305992.95,13540184.95,12697418.91,13453680.32,14480426.64,14592826.39
46714,Fair School Funding Plan,Central Local,Defiance,7209823.956,6761140.695,6271163.842,7007380.538,6607336.62,8318882.211
46714,Ohio House Proposal,Central Local,Defiance,7209823.956,6761140.695,6271163.842,7007380.538,6607336.62,6528895.948
45286,Fair School Funding Plan,Chagrin Falls Exempted Village,Cuyahoga,2172295.684,2108434.814,2095299.803,2115232.645,2247401.76,2925400.038
45286,Ohio House Proposal,Chagrin Falls Exempted Village,Cuyahoga,2172295.684,2108434.814,2095299.803,2115232.645,2247401.76,2355020.686
50138,Fair School Funding Plan,Champion Local,Trumbull,6180291.026,6987179.921,6871460.408,7227689.367,6901889.25,9296705.451
50138,Ohio House Proposal,Champion Local,Trumbull,6180291.026,6987179.921,6871460.408,7227689.367,6901889.25,6831097.972
47183,Fair School Funding Plan,Chardon Local,Geauga,5467154.226,5322424.723,5308231.891,5513601.883,5701580.71,6154989.365
47183,Ohio House Proposal,Chardon Local,Geauga,5467154.226,5322424.723,5308231.891,5513601.883,5701580.71,5710829.183
45294,Fair School Funding Plan,Chesapeake Union Exempted Village,Lawrence,11207341.71,10446245.98,10172345.91,9944326.258,9851228.18,14059403
45294,Ohio House Proposal,Chesapeake Union Exempted Village,Lawrence,11207341.71,10446245.98,10172345.91,9944326.258,9851228.18,10157618.12
43745,Fair School Funding Plan,Chillicothe City,Ross,15303478.24,14504938.03,15800263.46,17103859.74,17001238.01,25952824.91
43745,Ohio House Proposal,Chillicothe City,Ross,15303478.24,14504938.03,15800263.46,17103859.74,17001238.01,17702005.94
50534,Ohio House Proposal,Chippewa Local,Wayne,2167923.946,5733374.268,5536618.992,5319372.358,5204623.31,5163146.47
50534,Fair School Funding Plan,Chippewa Local,Wayne,2167923.946,5733374.268,5536618.992,5319372.358,5204623.31,5157209.885
43752,Fair School Funding Plan,Cincinnati Public Schools,Hamilton,163338885.9,157458544.1,152582567.6,164601591.6,155894439.3,193045355.3
43752,Ohio House Proposal,Cincinnati Public Schools,Hamilton,163338885.9,157458544.1,152582567.6,164601591.6,155894439.3,154619217.5
43760,Fair School Funding Plan,Circleville City,Pickaway,13426235.57,12562053.63,12939140.26,13551908.55,14007053.9,20795383.57
43760,Ohio House Proposal,Circleville City,Pickaway,13426235.57,12562053.63,12939140.26,13551908.55,14007053.9,14089384.05
46284,Fair School Funding Plan,Clark-Shawnee Local,Clark,6344370.161,6372948.165,6135518.353,5920694.075,5635943.2,8532434.92
46284,Ohio House Proposal,Clark-Shawnee Local,Clark,6344370.161,6372948.165,6135518.353,5920694.075,5635943.2,5609731.042
49601,Fair School Funding Plan,Clay Local,Scioto,9519329.406,5151214.036,5309740.65,5752597.136,6212663.31,9986438.874
49601,Ohio House Proposal,Clay Local,Scioto,9519329.406,5151214.036,5309740.65,5752597.136,6212663.31,6962330.121
43778,Fair School Funding Plan,Claymont City,Tuscarawas,18185966.06,16926874.75,16155744.38,15777479.51,15439798.29,16433982.96
43778,Ohio House Proposal,Claymont City,Tuscarawas,18185966.06,16926874.75,16155744.38,15777479.51,15439798.29,15226247.25
49411,Fair School Funding Plan,Clear Fork Valley Local,Richland,3067094.718,9672993.154,9295955.249,9358637.322,8606534.1,9698137.389
49411,Ohio House Proposal,Clear Fork Valley Local,Richland,3067094.718,9672993.154,9295955.249,9358637.322,8606534.1,8518611.257
48132,Fair School Funding Plan,Clearview Local,Lorain,3463332.915,14752376.74,14283572.24,14071270.74,14851644.49,20109654.64
48132,Ohio House Proposal,Clearview Local,Lorain,3463332.915,14752376.74,14283572.24,14071270.74,14851644.49,15392602.37
46326,Ohio House Proposal,Clermont Northeastern Local,Clermont,5855496.022,5604822.833,5423794.522,5265820.656,5193020.97,5155766.632
46326,Fair School Funding Plan,Clermont Northeastern Local,Clermont,5855496.022,5604822.833,5423794.522,5265820.656,5193020.97,5143441.937
43794,Fair School Funding Plan,Cleveland Heights-University Heights City,Cuyahoga,8039505.302,10824906.81,12158470.32,#ERROR!,13333234.7,20059394.12
43794,Ohio House Proposal,Cleveland Heights-University Heights City,Cuyahoga,8039505.302,10824906.81,12158470.32,14115347.91,13333234.7,13571516.97
43786,Fair School Funding Plan,Cleveland Municipal,Cuyahoga,363443388.9,333858436.5,323867784.4,329449665.3,308459302.7,455585868.8
43786,Ohio House Proposal,Cleveland Municipal,Cuyahoga,363443388.9,333858436.5,323867784.4,329449665.3,308459302.7,304311616.7
46391,Fair School Funding Plan,Clinton-Massie Local,Clinton,10859790,10269116.82,9822665.196,9466631.199,9346695.32,9879383.064
46391,Ohio House Proposal,Clinton-Massie Local,Clinton,10859790,10269116.82,9822665.196,9466631.199,9346695.32,9248412.857
48488,Fair School Funding Plan,Cloverleaf Local,Medina,6393772.034,9192325.777,8927159.318,9011827.565,8976451.75,9408135.674
48488,Ohio House Proposal,Cloverleaf Local,Medina,6393772.034,9192325.777,8927159.318,9011827.565,8976451.75,8922854.239
45302,Fair School Funding Plan,Clyde-Green Springs Exempted Village,Sandusky,15288848.83,14470439.61,13275818.79,14402908.22,14571391.08,20958575.04
45302,Ohio House Proposal,Clyde-Green Springs Exempted Village,Sandusky,15288848.83,14470439.61,13275818.79,14402908.22,14571391.08,14657017.12
45310,Fair School Funding Plan,Coldwater Exempted Village,Mercer,8034791.473,7761441.778,7423643.657,8282871.735,8650310.45,12085692.08
45310,Ohio House Proposal,Coldwater Exempted Village,Mercer,8034791.473,7761441.778,7423643.657,8282871.735,8650310.45,9001745.343
64964,Fair School Funding Plan,College Corner Local,Preble,37141880.54,1044736.598,1394277.109,1779642.447,1915681.58,3623452.1
